Index,BasePrice,Name,Count,TotalTrades,,,Region,,,,,,,,,,,
13409,1730000,Liverto Crescent Pendulum,74,,,,,,,,,,,,,,,
13406,276000,Ain Crescent Pendulum,1,,,,,,,,,,,,,,,
715019,620000000,Blackstar Crescent Pendulum,5,,,,,,,,,,,,,,,
13423,14200,Ultimate Styd Crescent Pendulum,523,,,,,,,,,,,,,,,
13487,118000000,Offin Tett's Radiant Crescent Pendulum,4,,,,,,,,,,,,,,,
13403,9300,Elsh Crescent Pendulum,34,,,,,,,,,,,,,,,
13420,34200,Krea Crescent Pendulum,1057,,,,,,,,,,,,,,,
13405,18000,Azwell Crescent Pendulum,15,,,,,,,,,,,,,,,
13412,193000,Kalis Crescent Pendulum,45,,,,,,,,,,,,,,,
13413,46300,Bares Crescent Pendulum,48,,,,,,,,,,,,,,,
13707,172000,Seleth Crossbow,26,,,,,,,,,,,,,,,
13714,103000,Yuria Crossbow,22,,,,,,,,,,,,,,,
13713,46300,Bares Crossbow,62,,,,,,,,,,,,,,,
13756,34200,Krea Crossbow,370,,,,,,,,,,,,,,,
13771,12700,Styd Crossbow,50,,,,,,,,,,,,,,,
13786,118000000,Offin Tett's Radiant Crossbow,9,,,,,,,,,,,,,,,
13712,193000,Kalis Crossbow,13,,,,,,,,,,,,,,,
13706,276000,Ain Crossbow,1,,,,,,,,,,,,,,,
13709,1730000,Liverto Crossbow,33,,,,,,,,,,,,,,,
13703,9300,Elsh Crossbow,19,,,,,,,,,,,,,,,
13757,37400,Rosar Crossbow,628,,,,,,,,,,,,,,,
13705,18000,Azwell Crossbow,22,,,,,,,,,,,,,,,
13772,14200,Ultimate Styd Crossbow,0,,,,,,,,,,,,,,,
715021,620000000,Blackstar Crossbow,3,,,,,,,,,,,,,,,
13710,102000000,Kzarka Crossbow,20,,,,,,,,,,,,,,,
718523,14200,Ultimate Styd Florang,2,,,,,,,,,,,,,,,
718514,103000,Yuria Florang,76,,,,,,,,,,,,,,,
718616,620000000,Blackstar Florang,3,,,,,,,,,,,,,,,
718509,1730000,Liverto Florang,17,,,,,,,,,,,,,,,
718507,172000,Seleth Florang,9,,,,,,,,,,,,,,,
718510,102000000,Kzarka Florang,4,,,,,,,,,,,,,,,
718513,46300,Bares Florang,132,,,,,,,,,,,,,,,
718506,276000,Ain Florang,0,,,,,,,,,,,,,,,
718520,34200,Krea Florang,33,,,,,,,,,,,,,,,
718522,12700,Styd Florang,20,,,,,,,,,,,,,,,
718586,118000000,Offin Tett's Radiant Florang,4,,,,,,,,,,,,,,,
718521,37400,Rosar Florang,735,,,,,,,,,,,,,,,
718503,9300,Elsh Florang,14,,,,,,,,,,,,,,,
718505,18000,Azwell Florang,26,,,,,,,,,,,,,,,
718512,193000,Kalis Florang,34,,,,,,,,,,,,,,,
10105,23800,Kite Shield,863,,,,,,,,,,,,,,,
10103,21100,Axion Shield,1304,,,,,,,,,,,,,,,
10138,134000000,Nouver Shield,23,,,,,,,,,,,,,,,
10140,81500000,Kutum Shield,14,,,,,,,,,,,,,,,
10124,25200,Krea Shield,1127,,,,,,,,,,,,,,,
10125,29200,Rosar Shield,607,,,,,,,,,,,,,,,
10102,16800,Vangertz Shield,61,,,,,,,,,,,,,,,
10305,23800,Parrying Dagger,618,,,,,,,,,,,,,,,
10303,16800,Bronze Dagger,174,,,,,,,,,,,,,,,
10324,25200,Krea Dagger,726,,,,,,,,,,,,,,,
10325,29200,Rosar Dagger,528,,,,,,,,,,,,,,,
10304,21100,Steel Dagger,1342,,,,,,,,,,,,,,,
10338,134000000,Nouver Dagger,39,,,,,,,,,,,,,,,
10340,81500000,Kutum Dagger,28,,,,,,,,,,,,,,,
10505,23800,Rhik Talisman,63,,,,,,,,,,,,,,,
10524,25200,Krea Talisman,376,,,,,,,,,,,,,,,
10503,16800,Helrick Talisman,2,,,,,,,,,,,,,,,
10525,29200,Rosar Talisman,894,,,,,,,,,,,,,,,
10504,21100,Jubre Talisman,71,,,,,,,,,,,,,,,
10538,134000000,Nouver Talisman,11,,,,,,,,,,,,,,,
10540,81500000,Kutum Talisman,24,,,,,,,,,,,,,,,
10724,25200,Krea Ornamental Knot,307,,,,,,,,,,,,,,,
10705,23800,Theos Ornamental Knot,1626,,,,,,,,,,,,,,,
10725,29200,Rosar Ornamental Knot,262,,,,,,,,,,,,,,,
10703,16800,Saiyer Ornamental Knot,317,,,,,,,,,,,,,,,
10704,21100,Oros Ornamental Knot,1900,,,,,,,,,,,,,,,
10738,134000000,Nouver Ornamental Knot,31,,,,,,,,,,,,,,,
10740,81500000,Kutum Ornamental Knot,16,,,,,,,,,,,,,,,
13025,29200,Rosar Trinket,777,,,,,,,,,,,,,,,
13040,81500000,Kutum Trinket,4,,,,,,,,,,,,,,,
13024,25200,Krea Trinket,501,,,,,,,,,,,,,,,
13003,16800,Incense Trinket,196,,,,,,,,,,,,,,,
13005,23800,Blade Trinket,217,,,,,,,,,,,,,,,
13038,134000000,Nouver Trinket,7,,,,,,,,,,,,,,,
13004,21100,Needle Trinket,288,,,,,,,,,,,,,,,
13138,134000000,Nouver Horn Bow,20,,,,,,,,,,,,,,,
13124,25200,Krea Horn Bow,42,,,,,,,,,,,,,,,
13125,29200,Rosar Horn Bow,63,,,,,,,,,,,,,,,
13103,16800,Black Warrior Horn Bow,40,,,,,,,,,,,,,,,
13105,23800,White Warrior Horn Bow,32,,,,,,,,,,,,,,,
13104,21100,White Horn Bow,51,,,,,,,,,,,,,,,
13140,81500000,Kutum Horn Bow,33,,,,,,,,,,,,,,,
14504,21100,Estique Kunai,2242,,,,,,,,,,,,,,,
14538,134000000,Nouver Kunai,10,,,,,,,,,,,,,,,
14525,29200,Rosar Kunai,328,,,,,,,,,,,,,,,
14540,81500000,Kutum Kunai,14,,,,,,,,,,,,,,,
14503,16800,Quitar Kunai,478,,,,,,,,,,,,,,,
14505,23800,Tadd Kunai,1055,,,,,,,,,,,,,,,
14524,25200,Krea Kunai,742,,,,,,,,,,,,,,,
14640,81500000,Kutum Shuriken,10,,,,,,,,,,,,,,,
14625,29200,Rosar Shuriken,312,,,,,,,,,,,,,,,
14603,16800,Quitar Shuriken,436,,,,,,,,,,,,,,,
14605,23800,Tadd Shuriken,1234,,,,,,,,,,,,,,,
14604,21100,Estique Shuriken,2329,,,,,,,,,,,,,,,
14638,134000000,Nouver Shuriken,21,,,,,,,,,,,,,,,
14624,25200,Krea Shuriken,1271,,,,,,,,,,,,,,,
11324,25200,Krea Vambrace,2330,,,,,,,,,,,,,,,
11305,23800,Iron Vambrace,869,,,,,,,,,,,,,,,
11338,134000000,Nouver Vambrace,27,,,,,,,,,,,,,,,
11303,16800,Leather Vambrace,10,,,,,,,,,,,,,,,
11304,21100,Scale Vambrace,2249,,,,,,,,,,,,,,,
11340,81500000,Kutum Vambrace,31,,,,,,,,,,,,,,,
11325,29200,Rosar Vambrace,1307,,,,,,,,,,,,,,,
13505,23800,Mistress Noble Sword,1616,,,,,,,,,,,,,,,
13504,21100,Crow Noble Sword,2079,,,,,,,,,,,,,,,
13540,81500000,Kutum Noble Sword,18,,,,,,,,,,,,,,,
13538,134000000,Nouver Noble Sword,16,,,,,,,,,,,,,,,
13524,25200,Krea Noble Sword,1606,,,,,,,,,,,,,,,
13525,29200,Rosar Noble Sword,121,,,,,,,,,,,,,,,
13503,16800,Ascending Noble Sword,20,,,,,,,,,,,,,,,
13805,23800,Sharos Ra'ghon,487,,,,,,,,,,,,,,,
13803,16800,Bhatu Ra'ghon,806,,,,,,,,,,,,,,,
13804,21100,Ganatte Ra'ghon,2844,,,,,,,,,,,,,,,
13838,134000000,Nouver Ra'ghon,25,,,,,,,,,,,,,,,
13825,29200,Rosar Ra'ghon,1344,,,,,,,,,,,,,,,
13824,25200,Krea Ra'ghon,2665,,,,,,,,,,,,,,,
13840,81500000,Kutum Ra'ghon,23,,,,,,,,,,,,,,,
719038,134000000,Nouver Vitclari,4,,,,,,,,,,,,,,,
719005,23800,Theos Vitclari,2921,,,,,,,,,,,,,,,
719003,16800,Saiyer Vitclari,4051,,,,,,,,,,,,,,,
719024,25200,Krea Vitclari,1617,,,,,,,,,,,,,,,
719025,29200,Rosar Vitclari,73,,,,,,,,,,,,,,,
719004,21100,Oros Vitclari,4899,,,,,,,,,,,,,,,
719040,81500000,Kutum Vitclari,22,,,,,,,,,,,,,,,
14702,105000000,Dandelion Great Sword,10,,,,,,,,,,,,,,,
14703,108000,Mercenary's Great Sword,6,,,,,,,,,,,,,,,
702501,105000000,Dragon Slayer Great Sword,0,,,,,,,,,,,,,,,
14701,1640000,Mercenary's Steel Great Sword,392,,,,,,,,,,,,,,,
702517,51500000,Hughol's Great Sword,0,,,,,,,,,,,,,,,
702502,105000000,Dragon Slayer Scythe,2,,,,,,,,,,,,,,,
14711,1640000,Spell of Seduction Scythe,645,,,,,,,,,,,,,,,
14713,108000,Scythe of Seduction,8,,,,,,,,,,,,,,,
702518,51500000,Hughol's Scythe,3,,,,,,,,,,,,,,,
14712,105000000,Dandelion Scythe,16,,,,,,,,,,,,,,,
702519,51500000,Hughol's Iron Buster,0,,,,,,,,,,,,,,,
14721,1640000,Upgraded Iron Buster,702,,,,,,,,,,,,,,,
14722,105000000,Dandelion Iron Buster,16,,,,,,,,,,,,,,,
702503,105000000,Dragon Slayer Iron Buster,1,,,,,,,,,,,,,,,
14723,108000,Rough Iron Buster,13,,,,,,,,,,,,,,,
702504,105000000,Dragon Slayer Kamasylven Sword,1,,,,,,,,,,,,,,,
702520,51500000,Hughol's Kamasylven Sword,0,,,,,,,,,,,,,,,
14731,1640000,Heiress's Kamasylven Sword,1245,,,,,,,,,,,,,,,
14732,105000000,Dandelion Kamasylven Sword,20,,,,,,,,,,,,,,,
14733,108000,Small Tree Spirit's Kamasylven Sword,21,,,,,,,,,,,,,,,
14743,108000,Practice Celestial Bo Staff,17,,,,,,,,,,,,,,,
702521,51500000,Hughol's Celestial Bo Staff,0,,,,,,,,,,,,,,,
14742,105000000,Dandelion Celestial Bo Staff,7,,,,,,,,,,,,,,,
14741,1640000,Azure Thunder Celestial Bo Staff,1097,,,,,,,,,,,,,,,
702505,105000000,Dragon Slayer Celestial Bo Staff,2,,,,,,,,,,,,,,,
14752,105000000,Dandelion Lancia,15,,,,,,,,,,,,,,,
702506,105000000,Dragon Slayer Lancia,0,,,,,,,,,,,,,,,
14753,108000,Schzeriel Lancia,14,,,,,,,,,,,,,,,
702522,51500000,Hughol's Lancia,0,,,,,,,,,,,,,,,
14751,1640000,Piece of Purification Lancia,1406,,,,,,,,,,,,,,,
702507,105000000,Dragon Slayer Crescent Blade,2,,,,,,,,,,,,,,,
14763,108000,Iron Crescent Blade,27,,,,,,,,,,,,,,,
14761,1640000,Immaculate Crescent Blade,1808,,,,,,,,,,,,,,,
14762,105000000,Dandelion Crescent Blade,23,,,,,,,,,,,,,,,
702523,51500000,Hughol's Crescent Blade,1,,,,,,,,,,,,,,,
14772,105000000,Dandelion Kerispear,12,,,,,,,,,,,,,,,
702524,51500000,Hughol's Kerispear,0,,,,,,,,,,,,,,,
14771,1640000,Frosty Cloud Kerispear,974,,,,,,,,,,,,,,,
14773,108000,Sundo Kerispear,7,,,,,,,,,,,,,,,
702508,105000000,Dragon Slayer Kerispear,1,,,,,,,,,,,,,,,
702525,51500000,Hughol's Sura Katana,0,,,,,,,,,,,,,,,
14781,1640000,Yagakmu Sura Katana,1303,,,,,,,,,,,,,,,
14783,108000,Tempest Sura Katana,17,,,,,,,,,,,,,,,
702509,105000000,Dragon Slayer Sura Katana,0,,,,,,,,,,,,,,,
14782,105000000,Dandelion Sura Katana,4,,,,,,,,,,,,,,,
14791,1640000,Oeki's Sah Chakram,999,,,,,,,,,,,,,,,
14793,108000,Sonan Sah Chakram,22,,,,,,,,,,,,,,,
14792,105000000,Dandelion Sah Chakram,9,,,,,,,,,,,,,,,
702526,51500000,Hughol's Sah Chakram,0,,,,,,,,,,,,,,,
702510,105000000,Dragon Slayer Sah Chakram,0,,,,,,,,,,,,,,,
702527,51500000,Hughol's Aad Sphera,0,,,,,,,,,,,,,,,
14803,108000,Pri Aad Sphera,22,,,,,,,,,,,,,,,
14802,105000000,Dandelion Aad Sphera,17,,,,,,,,,,,,,,,
702511,105000000,Dragon Slayer Aad Sphera,1,,,,,,,,,,,,,,,
14801,1640000,Alloria Aad Sphera,3377,,,,,,,,,,,,,,,
14813,108000,Tati Godr Sphera,26,,,,,,,,,,,,,,,
14812,105000000,Dandelion Godr Sphera,5,,,,,,,,,,,,,,,
702512,105000000,Dragon Slayer Godr Sphera,0,,,,,,,,,,,,,,,
702528,51500000,Hughol's Godr Sphera,0,,,,,,,,,,,,,,,
14811,1640000,Lord Godr Sphera,3521,,,,,,,,,,,,,,,
14816,1640000,Light-Swallowing Vediant,3191,,,,,,,,,,,,,,,
14818,108000,Thorn Tree Vediant,20,,,,,,,,,,,,,,,
702529,51500000,Hughol's Vediant,0,,,,,,,,,,,,,,,
702513,105000000,Dragon Slayer Vediant,1,,,,,,,,,,,,,,,
14817,105000000,Dandelion Vediant,12,,,,,,,,,,,,,,,
14823,108000,Iron Chain Gardbrace,25,,,,,,,,,,,,,,,
702530,51500000,Hughol's Gardbrace,0,,,,,,,,,,,,,,,
14822,105000000,Dandelion Gardbrace,7,,,,,,,,,,,,,,,
702514,105000000,Dragon Slayer Gardbrace,0,,,,,,,,,,,,,,,
14821,1640000,Backflow Gardbrace,1542,,,,,,,,,,,,,,,
14831,108000,Kamalam Cestus,18,,,,,,,,,,,,,,,
702515,105000000,Dragon Slayer Cestus,1,,,,,,,,,,,,,,,
14829,1640000,Baconaua Cestus,3497,,,,,,,,,,,,,,,
14830,105000000,Dandelion Cestus,22,,,,,,,,,,,,,,,
702531,51500000,Hughol's Cestus,2,,,,,,,,,,,,,,,
550503,108000,Enneadread Crimson Glaives,42,,,,,,,,,,,,,,,
702516,105000000,Dragon Slayer Crimson Glaives,0,,,,,,,,,,,,,,,
550502,105000000,Dandelion Crimson Glaives,17,,,,,,,,,,,,,,,
702532,51500000,Hughol's Crimson Glaives,3,,,,,,,,,,,,,,,
550501,1640000,Crimson Glaives of the Sage,5667,,,,,,,,,,,,,,,
702533,105000000,Dragon Slayer Greatbow,1,,,,,,,,,,,,,,,
13901,108000,Greatbow of Fate,9,,,,,,,,,,,,,,,
13903,105000000,Dandelion Greatbow,10,,,,,,,,,,,,,,,
13902,1640000,Saiphir Greatbow,747,,,,,,,,,,,,,,,
702534,51500000,Hughol's Greatbow,0,,,,,,,,,,,,,,,
10889,18000,Dobart Helmet,12,,,,,,,,,,,,,,,
10933,296000,Grunil Helmet,566,,,,,,,,,,,,,,,
10821,27500,Talis Helmet,96,,,,,,,,,,,,,,,
11009,164000,Luck Helmet of Fortuna,88,,,,,,,,,,,,,,,
11070,910000,Lemoria Helmet,158,,,,,,,,,,,,,,,
11101,167000000,Griffon's Helmet,6,,,,,,,,,,,,,,,
10937,160000,Rocaba Helmet,341,,,,,,,,,,,,,,,
11001,236000,Helmet of Hercules' Might,133,,,,,,,,,,,,,,,
11005,1120000,Strength Helmet of Heve,80,,,,,,,,,,,,,,,
701011,900000,Akum Helmet,398,,,,,,,,,,,,,,,
10809,16700,Agerian Helmet,85,,,,,,,,,,,,,,,
11013,108000000,Giath's Helmet,10,,,,,,,,,,,,,,,
10813,23700,Taritas Helmet,356,,,,,,,,,,,,,,,
10817,29500,Zereth Helmet,1104,,,,,,,,,,,,,,,
14101,265000,Steel Taritas Helmet,0,,,,,,,,,,,,,,,
719901,311000000,Blackstar Helmet,9,,,,,,,,,,,,,,,
10934,105000,Grunil Armor,130,,,,,,,,,,,,,,,
11006,48200,Strength Armor of Heve,174,,,,,,,,,,,,,,,
14102,307000,Steel Taritas Armor,40,,,,,,,,,,,,,,,
11071,900000,Lemoria Armor,122,,,,,,,,,,,,,,,
10938,45300,Rocaba Armor,143,,,,,,,,,,,,,,,
11002,57500,Armor of Hercules' Might,1111,,,,,,,,,,,,,,,
10818,33500,Zereth Armor,32,,,,,,,,,,,,,,,
10810,21000,Agerian Armor,78,,,,,,,,,,,,,,,
11010,29500,Luck Armor of Fortuna,263,,,,,,,,,,,,,,,
10822,30700,Talis Armor,118,,,,,,,,,,,,,,,
10890,44100,Dobart Armor,0,,,,,,,,,,,,,,,
11017,192000000,Dim Tree Spirit's Armor,62,,,,,,,,,,,,,,,
719898,35100000000,Fallen God's Armor,0,,,,,,,,,,,,,,,
719902,386000000,Blackstar Armor,10,,,,,,,,,,,,,,,
701012,915000,Akum Armor,137,,,,,,,,,,,,,,,
10814,28000,Taritas Armor,195,,,,,,,,,,,,,,,
11014,120000000,Red Nose's Armor,64,,,,,,,,,,,,,,,
10811,12600,Agerian Gloves,87,,,,,,,,,,,,,,,
11011,21000,Luck Gloves of Fortuna,240,,,,,,,,,,,,,,,
11007,35700,Strength Gloves of Heve,834,,,,,,,,,,,,,,,
10823,22400,Talis Gloves,1196,,,,,,,,,,,,,,,
10891,18800,Dobart Gloves,22,,,,,,,,,,,,,,,
10819,25200,Zereth Gloves,535,,,,,,,,,,,,,,,
10815,19600,Taritas Gloves,349,,,,,,,,,,,,,,,
11015,107000000,Bheg's Gloves,21,,,,,,,,,,,,,,,
14103,204000,Steel Taritas Gloves,3,,,,,,,,,,,,,,,
11003,37500,Gloves of Hercules' Might,560,,,,,,,,,,,,,,,
11102,119000000,Leebur's Gloves,82,,,,,,,,,,,,,,,
10939,30700,Rocaba Gloves,3121,,,,,,,,,,,,,,,
701013,900000,Akum Gloves,574,,,,,,,,,,,,,,,
10935,172000,Grunil Gloves,112,,,,,,,,,,,,,,,
11072,900000,Lemoria Gloves,1333,,,,,,,,,,,,,,,
14104,196000,Steel Taritas Shoes,11,,,,,,,,,,,,,,,
